"name"	"value"	"date_of_information"	"ranking"	"region"
"Ireland"	"5,224,884"	"July 2021 est."	"122"	"Europe"
"Liberia"	"5,214,030"	"July 2021 est."	"123"	"Africa"
"Costa Rica"	"5,151,140"	"July 2021 est."	"124"	"Central America"
"New Zealand"	"4,991,442"	"July 2021 est."	"125"	"Australia - Oceania"
"Georgia"	"4,933,674"	"July 2021 est."	"126"	"Middle East"
"Croatia"	"4,208,973"	"July 2021 est."	"127"	"Europe"
"Mauritania"	"4,079,284"	"July 2021 est."	"128"	"Africa"
"Panama"	"3,928,646"	"July 2021 est."	"129"	"Central America"
"Bosnia and Herzegovina"	"3,824,782"	"July 2021 est."	"130"	"Europe"
"Oman"	"3,694,755"	"July 2021 est."	"131"	"Middle East"
"Uruguay"	"3,398,239"	"July 2021 est."	"132"	"South America"
"Moldova"	"3,323,875"	"July 2021 est."	"133"	"Europe"
"Mongolia"	"3,198,913"	"July 2021 est."	"134"	"East Asia/Southeast Asia"
"Puerto Rico"	"3,142,779"	"July 2021 est."	"135"	"Central America"
"Albania"	"3,088,385"	"July 2021 est."	"136"	"Europe"
"Kuwait"	"3,032,065"	"July 2021 est."	"137"	"Middle East"
"Armenia"	"3,011,609"	"July 2021 est."	"138"	"Middle East"
"West Bank"	"2,949,246"	"July 2021 est."	"139"	"Middle East"
"Jamaica"	"2,816,602"	"July 2021 est."	"140"	"Central America"
"Lithuania"	"2,711,566"	"July 2021 est."	"141"	"Europe"
"Namibia"	"2,678,191"	"July 2021 est."	"142"	"Africa"
"Qatar"	"2,479,995"	"July 2021 est."	"143"	"Middle East"
"Botswana"	"2,350,667"	"July 2021 est."	"144"	"Africa"
"Gabon"	"2,284,912"	"July 2021 est."	"145"	"Africa"
"Gambia, The"	"2,221,301"	"July 2021 est."	"146"	"Africa"
"Lesotho"	"2,177,740"	"July 2021 est."	"147"	"Africa"
"Slovenia"	"2,102,106"	"July 2021 est."	"149"	"Europe"
"Guinea-Bissau"	"1,976,187"	"July 2021 est."	"150"	"Africa"
"Gaza Strip"	"1,957,062"	"July 2021 est."	"151"	"Middle East"
"Kosovo"	"1,935,259"	"July 2021 est."	"152"	"Europe"
"Latvia"	"1,862,687"	"July 2021 est."	"153"	"Europe"
"Bahrain"	"1,526,929"	"July 2021 est."	"154"	"Middle East"
"Timor-Leste"	"1,413,958"	"July 2021 est."	"155"	"East Asia/Southeast Asia"
"Mauritius"	"1,386,129"	"July 2021 est."	"156"	"Africa"
"Cyprus"	"1,281,506"	"July 2021 est."	"157"	"Europe"
"Trinidad and Tobago"	"1,221,047"	"July 2021 est."	"158"	"Central America"
"Estonia"	"1,220,042"	"July 2021 est."	"159"	"Europe"
"Eswatini"	"1,113,276"	"July 2021 est."	"160"	"Africa"
"Fiji"	"939,535"	"July 2021 est."	"161"	"Australia - Oceania"
"Djibouti"	"938,413"	"July 2021 est."	"162"	"Africa"
"Comoros"	"864,335"	"July 2021 est."	"163"	"Africa"
"Bhutan"	"857,423"	"July 2021 est."	"164"	"South Asia"
"Equatorial Guinea"	"857,008"	"July 2021 est."	"165"	"Africa"
"Guyana"	"787,971"	"July 2021 est."	"166"	"South America"
"Solomon Islands"	"690,598"	"July 2021 est."	"167"	"Australia - Oceania"
"Luxembourg"	"639,589"	"July 2021 est."	"168"	"Europe"
"Macau"	"630,396"	"July 2021 est."	"169"	"East Asia/Southeast Asia"
"Suriname"	"614,749"	"July 2021 est."	"170"	"South America"
"Montenegro"	"607,414"	"July 2021 est."	"171"	"Europe"
"Cabo Verde"	"589,451"	"July 2021 est."	"172"	"Africa"
"Brunei"	"471,103"	"July 2021 est."	"173"	"East Asia/Southeast Asia"
"Malta"	"460,891"	"July 2021 est."	"174"	"Europe"
"Belize"	"405,633"	"July 2021 est."	"175"	"Central America"
"Maldives"	"390,669"	"July 2021 est."	"176"	"South Asia"
"Iceland"	"354,234"	"July 2021 est."	"177"	"Europe"
"Bahamas, The"	"352,655"	"July 2021 est."	"178"	"Central America"
"Vanuatu"	"303,009"	"July 2021 est."	"179"	"Australia - Oceania"
"Barbados"	"301,865"	"July 2021 est."	"180"	"Central America"
"French Polynesia"	"297,154"	"July 2021 est."	"181"	"Australia - Oceania"
"New Caledonia"	"293,608"	"July 2021 est."	"182"	"Australia - Oceania"
"Sao Tome and Principe"	"213,948"	"July 2021 est."	"183"	"Africa"
"Samoa"	"204,898"	"July 2021 est."	"184"	"Australia - Oceania"
"Guam"	"168,801"	"July 2021 est."	"185"	"Australia - Oceania"
"Saint Lucia"	"166,637"	"July 2021 est."	"186"	"Central America"
"Curacao"	"151,885"	"July 2021 est."	"187"	"Central America"
"Aruba"	"120,917"	"July 2021 est."	"188"	"Central America"
"Grenada"	"113,570"	"July 2021 est."	"189"	"Central America"
"Kiribati"	"113,001"	"July 2021 est."	"190"	"Australia - Oceania"
"Virgin Islands"	"105,870"	"July 2021 est."	"191"	"Central America"
"Tonga"	"105,780"	"July 2021 est."	"192"	"Australia - Oceania"
"Micronesia, Federated States of"	"101,675"	"July 2021 est."	"193"	"Australia - Oceania"
"Jersey"	"101,476"	"July 2021 est."	"194"	"Europe"
"Saint Vincent and the Grenadines"	"101,145"	"July 2021 est."	"195"	"Central America"
"Antigua and Barbuda"	"99,175"	"July 2021 est."	"196"	"Central America"
"Seychelles"	"96,387"	"July 2021 est."	"197"	"Africa"
"Isle of Man"	"90,895"	"July 2021 est."	"198"	"Europe"
"Andorra"	"85,645"	"July 2021 est."	"199"	"Europe"
"Marshall Islands"	"78,831"	"July 2021 est."	"200"	"Australia - Oceania"
"Dominica"	"74,584"	"July 2021 est."	"201"	"Central America"
"Bermuda"	"72,084"	"July 2021 est."	"202"	"North America"
"Guernsey"	"67,334"	"July 2021 est."	"203"	"Europe"
"Cayman Islands"	"63,131"	"July 2021 est."	"204"	"Central America"
"Greenland"	"57,799"	"July 2021 est."	"205"	"North America"
"Turks and Caicos Islands"	"57,196"	"July 2021 est."	"206"	"Central America"
"Saint Kitts and Nevis"	"54,149"	"July 2021 est."	"207"	"Central America"
"Faroe Islands"	"51,943"	"July 2021 est."	"208"	"Europe"
"Northern Mariana Islands"	"51,659"	"July 2021 est."	"209"	"Australia - Oceania"
"American Samoa"	"46,366"	"July 2021 est."	"210"	"Australia - Oceania"
"Sint Maarten"	"44,564"	"July 2021 est."	"211"	"Central America"
"Liechtenstein"	"39,425"	"July 2021 est."	"212"	"Europe"
"British Virgin Islands"	"37,891"	"July 2021 est."	"213"	"Central America"
"San Marino"	"34,467"	"July 2021 est."	"214"	"Europe"
"Saint Martin"	"32,680"	"July 2021 est."	"215"	"Central America"
"Monaco"	"31,223"	"July 2021 est."	"216"	"Europe"
"Gibraltar"	"29,516"	"July 2021 est."	"217"	"Europe"
"Palau"	"21,613"	"July 2021 est."	"218"	"Australia - Oceania"
"Anguilla"	"18,403"	"July 2021 est."	"219"	"Central America"
"Wallis and Futuna"	"15,851"	"July 2021 est."	"220"	"Australia - Oceania"
"Tuvalu"	"11,448"	"July 2021 est."	"221"	"Australia - Oceania"
"Nauru"	"9,770"	"July 2021 est."	"222"	"Australia - Oceania"
"Cook Islands"	"8,327"	"July 2021 est."	"223"	"Australia - Oceania"
"Saint Helena, Ascension, and Tristan da Cunha"	"7,915"	"July 2021 est."	"224"	"Africa"
"Saint Barthelemy"	"7,116"	"July 2021 est."	"225"	"Central America"
"Montserrat"	"5,387"	"July 2021 est."	"226"	"Central America"
"Saint Pierre and Miquelon"	"5,321"	"July 2021 est."	"227"	"North America"
"Falkland Islands (Islas Malvinas)"	"3,198"	"2016 est."	"228"	"South America"
"Svalbard"	"2,926"	"January 2021 est."	"229"	"Europe"
"Christmas Island"	"2,205"	"2016 est."	"230"	"Australia - Oceania"
"Niue"	"2,000"	"July 2021 est."	"231"	"Australia - Oceania"
"Norfolk Island"	"1,748"	"2016 est."	"232"	"Australia - Oceania"
"Tokelau"	"1,647"	"2019 est."	"233"	"Australia - Oceania"
"Paracel Islands"	"1,440"	"July 2014 est."	"234"	"East Asia/Southeast Asia"
"Holy See (Vatican City)"	"1,000"	"2019 est."	"235"	"Europe"
"Cocos (Keeling) Islands"	"596"	"July 2014 est."	"236"	"Australia - Oceania"
"Pitcairn Islands"	"50"	"2021 est."	"237"	"Australia - Oceania"
